file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,180,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,21
style.css,181,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,28
style.css,182,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,58
style.css,183,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,49
style.css,184,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,185,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,186,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,23
style.css,187,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,6
style.css,188,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,70
style.css,189,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,51
style.css,190,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,191,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,192,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,10
style.css,193,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,46
style.css,194,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,82
style.css,195,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,44
style.css,196,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,58
style.css,197,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,198,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,199,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,18
style.css,200,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,55
style.css,201,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,66
style.css,202,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,56
style.css,203,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,65
style.css,204,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,72
style.css,205,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,73
style.css,206,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,55
style.css,207,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,208,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
style.css,209,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,38
style.css,210,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,21
style.css,211,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,66
style.css,212,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,55
style.css,213,css,b7280038,joshosofsky-ucsd,2025-01-15,13:43:08,-08:00,2025-01-15T13:43:08-08:00,0,0
